Id,Barcode,Item Name,Category,Supplier ID,Cost Price,Unit Price,Tax 1 Name,Tax 1 Percent,Tax 2 Name,Tax 2 Percent,Reorder Level,Description,Allow Alt Description,Item has Serial Number,Image,HSN,location_stock,location_stock2
,087614018409,SWASON. ZINC Y C,Vitaminas,,9,18,,,,,5,200 CAPSULAS MASTICABLES,,,,,2,
,087614011363,SWASON. VIT E,Vitaminas,,4,8,,,,,5,200 IU 100 CAPSULAS BLANDAS,,,,,1,
,087614020679,SWASON. SELENIUM,Vitaminas,,5,10,,,,,5,200 MCG 90 CAPSULAS,,,,,3,
,087614015026, SWASON. MELATONINA,Vitaminas,,4,8,,,,,5,3 MG 120 CAPSULAS,,,,,3,
,087614142876,SWASON. ASHWAGHANDA,Vitaminas,,4.5,9,,,,,5,450 MG 60 CAPSULAS,,,,,2,
,087614019802,SWASON. YOHIMBE BARK,Vitaminas,,5.5,11,,,,,5,75 MG 100 CAPSULAS,,,,,3,
,087614113906,SWASON. MORINGA OLEIFERA,Vitaminas,,5,10,,,,,5,400 MG 60 CAPSULAS (ANTIOXIDANTE),,,,,4,
,087614112763,SWASON. ALFALFA SEED,Vitaminas,,5,10,,,,,5,400 MG 60 CAPSULAS ,,,,,1,
,087614140773,SWASON. ARTICHOKE EXTRACT,Vitaminas,,4,8,,,,,5,250 MG60 CAPSULAS ,,,,,2,
,087614115580,SWASON. L-CARNITINA,Vitaminas,,5,10,,,,,5,500 MG 30 TABLETAS,,,,,3,
,087614018836,"Hair, Skin and Nails Swanson",Vitaminas,,8,16,,,,,5,60 TABLETAS,,,,,3,
,087614017976,SWASON. MULTIVITAMINICO DE HOMBRE ,Vitaminas,,7.5,15,,,,,5,90 CAPSULAS,,,,,1,
,087614019772,SWASON. GREEN TEA (TE VERDE),Vitaminas,,6,12,,,,,5,500 MG  100 CAPSULAS,,,,,2,
,087614141398,SWASON. OLIVE LEAF EXTRACT (EXTRACTO DE HOJA DE OLIVA),Vitaminas,,8,16,,,,,5,750 MG 60  CAPSULAS,,,,,1,
,087614117614,SWASON. COLON HELPER,Vitaminas,,10.5,21,,,,,5,60 CAPSULAS ,,,,,3,
,087614113326,SWASON. GOTU KOLA (CENTELLA ASIATICA),Vitaminas,,3.5,7,,,,,5,435 MG 60 CAPSULAS,,,,,3,
,087614113357,SWASON. FENUGREEK SEED (FENOGRECO),Vitaminas,,5,10,,,,,5,610 MG 90 CAPSULASS,,,,,2,
,087614015064,SWASON. VALERIAN ROOT (VALERIANAS),Vitaminas,,5,10,,,,,5,475 MG 100 CAPSULAS,,,,,1,
,087614019567,SWASON. OREGANO,Vitaminas,,5,10,,,,,5,450 MG 90 CAPSULAS,,,,,1,
,087614040813,SWASON. VINAGRE DE MANZANA,Vitaminas,,1.5,3,,,,,5,200 MG 30 TABLETAS,,,,,2,
,087614112367,SWASON. 5-HTP,Vitaminas,,7.5,15,,,,,5,50 MG 60 CAPSULAS,,,,,3,
,087614025186,SWASON. 5-HTP,Vitaminas,,6,12,,,,,5,100 MG 60 CAPSULAS,,,,,4,
,087614029634,SWASON. 5-HTP,Vitaminas,,9,18,,,,,5,200 MG 60 CAPSULAS,,,,,4,
,087614022628,SWASON. DHEA,Vitaminas,,10,20,,,,,5,100 MG 60 CAPSULAS,,,,,1,
,087614021096,SWASON. RESVERATROL,Vitaminas,,4,8,,,,,5,5 MG 60 CAPSULAS,,,,,2,
,087614022826,Resveratrol Swanson 50Mg 30Caps,Vitaminas,,4,8,,,,,5,0,,,,,4,
,087614022833,SWASON. RESVERATROL,Vitaminas,,6,12,,,,,5,100 MG 30 CAPSULAS,,,,,2,
,087614112428,SWASON. GINKGO BILOBA EXTRACT,Vitaminas,,4,8,,,,,5,60 MG 30 CAPSULAS,,,,,4,
,087614116860,SWASON. BIOTIN,Vitaminas,,6,12,,,,,5,10.000 MCG 60 SOFTGELS,,,,,4,
,087614018775,SWASON. BIOTIN ,Vitaminas,,5,10,,,,,5,5.000 MCG 100 CAPSULAS,,,,,4,
,087614112213,SWASON. VIT B12 CYANOCOBALAMIN,Vitaminas,,7.5,15,,,,,5,1.000 MCG 59 ML,,,,,1,
,300054237200,Centrum Kids Masticables 80Tabs,Vitaminas,,12.5,25,,,,,5,0,,,,,1,
,311845061713,MASON NATURAL. MAGNESIUM GLUCONATE,Vitaminas,,5,10,,,,,5,550 MG 100 TABLETAS,,,,,1,
,015794026853,COUNTRY LIFE. CHELATED MAGNESIUM,Vitaminas,,10,20,,,,,5,250 MG 90 TABLETAS,,,,,1,
,x003amkus3,MAGNESIUM CITRATE,Vitaminas,,17.5,35,,,,,5,800 MG 180 CAPSULAS,,,,,1,
,865476000226,Citrato De Magnesio Swanson 400Mg 180 Caps,Vitaminas,,17.5,35,,,,,5,0,,,,,2,
,x0017pqk9n,DIVINE BOUNTY. MAGNESIUM CITRATE ,Vitaminas,,20,40,,,,,5,1300 MG 120 CAPSULAS,,,,,1,
,740985223093,21 ST CENTURY. VIT B-12,Vitaminas,,5,10,,,,,5,500 MCG 110 TABLETAS,,,,,3,
,740985228814,21 ST CENTURY. BIOTIN,Vitaminas,,4,8,,,,,5,800 MCG 110 TABLETAS,,,,,1,
,740985217818,Extracto De Castaña De India  21St Century 60Caps Veganas,Vitaminas,,7.5,15,,,,,5,0,,,,,1,
,7594002590551,PHARMAPLANT CIRQ-PLANT NACIONAL,Vitaminas,,4,8,,,,,5,60 CAPSULAS ,,,,,2,
,7595102000353,PHARMAPLANT. CENTELLA ASIATICA NACIONAL,Vitaminas,,3.5,7,,,,,5,300 MG 60 CAP,,,,,2,
,7595102000476,PHARMAPLANT. LEVADURA DE CERVEZA NACIONAL,Vitaminas,,4.5,9,,,,,5,30OMG 60 CAPSULAS,,,,,2,
,7594002590582,PHARMAPLANT. GINKGO BILOBA NACIONAL,Vitaminas,,3.5,7,,,,,5,300MG 60 CAPSULAS ,,,,,2,
,7595102000391,PHARMAPLANT. SEX FORCE NACIONAL,Vitaminas,,3.5,7,,,,,5,500 MG 60 CAPSULAS ,,,,,2,
,7594002590568,PHARMAPLANT. CASCARA SAGRADA NACIONAL,Vitaminas,,3.5,7,,,,,5,300MG 60 CAPSULAS ,,,,,2,
,7595102000445,PHARMAPLANT. NAME SALVAJE NACIONAL,Vitaminas,,3.5,7,,,,,5,300MG 60 CAPSULAS ,,,,,2,
,7595102000438,PHARMAPLANT. LINAZABILA NACIONAL,Vitaminas,,3.5,7,,,,,5,500MG 60 CAPSULAS,,,,,2,
,742709100253,PRO SALUD. QUIEBRA BARRIGA NACIONAL,Vitaminas,,7,14,,,,,5,500 MG 70 CAPSULAS ADELGAZANTE,,,,,2,
,07591108449281,FIGUREL ADELGAZANTE,Vitaminas,,5,10,,,,,5,400 MG 90 CAPSULAS,,,,,2,
,1726268350600,ADELGALAX ,Vitaminas,,5,10,,,,,5,90 CAPSULAS,,,,,11,
,1726268350600,ADELGALAX ,Vitaminas,,3.5,7,,,,,5,60 CAPSULAS ,,,,,3,
,817716015927,BEST NATURAL LEVADURA DE CERVEZA ,Vitaminas,,12.5,25,,,,,5,0,,,,,1,
,x003ig9eal,MELATONINA EN GOMITAS ,Vitaminas,,6.5,13,,,,,5,"5 MG, 100 GOMITAS",,,,,1,
,733739024206,Levadura De Cerveza Now 454G,Vitaminas,,12.5,25,,,,,5,0,,,,,1,
,096619982110,Vitamina E Kirkland 180Mg(400 Iu) 500Caps Blandas,Vitaminas,,14,28,,,,,5,0,,,,,3,
,096619663712,KIRLAND.MULTIVITAMINICO ADULTO ,Vitaminas,,12.5,25,,,,,5,160N GOMITAS,,,,,1,
,096619480555,KIRLAND.VITAMINA C GOMITAS ,Vitaminas,,7.5,15,,,,,5, 250MG 180 GOMITAS,,,,,1,
,096619393916,Vitamina D3 Extrafuerte Kirkland 50Mcg (2000 Iu) 600 Caps Blandas,Vitaminas,,8,16,,,,,5,0,,,,,2,
,096619777792,Super Complejo B Con Electrolitos Kirkland 500Tabs,Vitaminas,,12.5,25,,,,,5,0,,,,,1,
,096619883165,KIRLAND. GLUCOSAMINA CON CHONDROITRIN ,Vitaminas,,20,40,,,,,5,280 TABLETAS,,,,,1,
,020525970381,Glucosamina Hcl Kirkland 1500Mcg Con Msn 1500Mg 375Tabs,Vitaminas,,15,30,,,,,5,0,,,,,2,
,096619926626,Omega 3 Kirkland 1000Mg 400Caps Blandas,Vitaminas,,12.5,25,,,,,5,0,,,,,2,
,096619982684,KIRLAND. VITAMINA C ,Vitaminas,,12.5,25,,,,,5,1.000MG 500 TABLETAS ,,,,,3,
,030768535032,SUNDONW. MELATONINA EN GOMIITAS,Vitaminas,,7.5,15,,,,,5,5MG  60 GOMITAS ,,,,,1,
,681131111485,SPRING VALLEY. L CARNITINA ,Vitaminas,,5,10,,,,,5,500MG 30 TABLETAS,,,,,3,
,681131355186,SPRING VALLEY. GLUTAMINA ,Vitaminas,,7.5,15,,,,,5,500 MG 100 TABLETAS,,,,,2,
,078742436562,Vitamina Prenatal Spring Valley 100 Tabs,Vitaminas,,6.5,13,,,,,5,0,,,,,2,
,681131928885,SPRING VALLEY.POTASSIO,Vitaminas,,7.5,15,,,,,5,99MG 250 CAP,,,,,2,
,681131125321,Vinagre De Cidra De Manzana Spring Valley 450Mg 100 Caps,Vitaminas,,6.5,13,,,,,5,0,,,,,3,
,681131151146,SPRING VALLEY. COLAGENO + VIT C ,Vitaminas,,9,18,,,,,5,2500 MG 90 TABLETAS ,,,,,2,
,605388627773,SPRING VALLEY. ACIDO ALPHA LIPOICO ,Vitaminas,,10,20,,,,,5,200 MG 100 CAP ,,,,,1,
,681131355209,SPRING VALLEY. ST JHON WORT (HIERBA DE SAN JUAN),Vitaminas,,6,12,,,,,5,150 90 CAPSULAS ,,,,,3,
,681131071642,SPRING VALLEY.FOLATE (ACIDO FOLICO) ,Vitaminas,,6,12,,,,,5,800MCG 400 CAP,,,,,1,
,681131234504,BEST NATURAL LEVADURA DE CERVEZA ,Vitaminas,,30,60,,,,,5,200 MG 150 CAPSULAS BLANDAS,,,,,1,
,078742634388,SPRING VALLEY. CALCIUM,Vitaminas,,7.5,15,,,,,5,600 MG 250 TABLETAS,,,,,1,
,681131447874,SPRING VALLEY. SAW PALMETTO ,Vitaminas,,10,20,,,,,5,450 MG 200 CAP,,,,,4,
,681131086615,Super Vitamina Complejo B Spring Valley 250 Tabs,Vitaminas,,10,20,,,,,5,0,,,,,3,
,681131749138,Vitamina C Spring Valley 500Mg 200 Tabs Masticable Frutas Tropicales,Vitaminas,,9,18,,,,,5,0,,,,,2,
,305734758655,CENTRUM SILVER HOMBRE + 50 ,Vitaminas,,9,18,,,,,5,65 TABLETAS,,,,,2,
,681131111522,SPRING VALLEY. L ARGININA ,Vitaminas,,6,12,,,,,5,500MG 50 CAP,,,,,2,
,681131057110,Biotina Spring Valley 10.000 Mcg Mas Keratina 60 Tabs,Vitaminas,,6.5,13,,,,,5,0,,,,,3,
,681131111478,Biotina Spring Valley 5000Mcg 120 Caps Blandas,Vitaminas,,6,12,,,,,5,0,,,,,2,
,681131928823,SPRING VALLEY. BIOTIN ,Vitaminas,,4.5,9,,,,,5,1000mcg 150 CAPSULAS,,,,,2,
,605388325549,Selenio Spring Valley 200Mcg 100 Tabs,Vitaminas,,5,10,,,,,5,0,,,,,1,
,078742499116,Acido Folico Spring Valley 666Cmg Dfe  400Mcg 250 Tabs,Vitaminas,,4,8,,,,,5,0,,,,,2,
,074312590948,NATURE'S BOUNTY HAIR SKIN NAILS ,Vitaminas,,10,20,,,,,5,"2,500MCG BIOTIN 90 GOMITAS",,,,,1,
,074312007101,NATURE'S BOUNTY HAIR SKIN NAILS ,Vitaminas,,10,20,,,,,5,6000 MCG BIOTIN 80 GOMITAS,,,,,1,
,074312791796,NATURE'S BOUNTY HAIR SKIN NAILS ,Vitaminas,,10,20,,,,,5,100 MG COLAGENO Y BIOTIN 90 GOMITAS,,,,,1,
,074312581885,Multivitamínicos En Gomitas Para Mujeres Concolageno Natures Bounty 80 Gomitas,Vitaminas,,10,20,,,,,5,0,,,,,1,
,676194963799,ALFA L ARGININA,Vitaminas,,6.5,13,,,,,5,1000 MG 100 CAPSULAS,,,,,1,
,676194963867,ALFA GLUTAMINA,Vitaminas,,6,12,,,,,5,1000 MG 100 CAPSULAS,,,,,2,
,676194963829,ALFA CREATINA,Vitaminas,,10,20,,,,,5,1200 MG 100 CAPSULAS,,,,,2,
,676194961542,ALFA BIOTIN,Vitaminas,,6.5,13,,,,,5,5000 MCG 100 TABLETAS,,,,,2,
,676194962549,"ALFA OMEGA 3,6 ,9",Vitaminas,,6.5,13,,,,,5,1000 MG 100 CAPSULAS BLANDAS,,,,,1,
,676194784004,ALFA PROBIOTICO,Vitaminas,,6,12,,,,,5,600 MILLONES 60 CAP,,,,,1,
,676194174744,ALFA ACEITE ONAGRA,Vitaminas,,6,12,,,,,5,1000 MG 60 CAPSULAS BLANDAS,,,,,1,
,676194200030,ALFA MACA,Vitaminas,,6.5,13,,,,,5,1000 MG 60 CAPSULAS BLANDAS,,,,,1,
,676194174065,ALFA SAW PALMETO,Vitaminas,,6,12,,,,,5,60 CAPSULAS ,,,,,2,
,676194170081,ALFA VITAMINA C ,Vitaminas,,7,14,,,,,5,500 MG 100 TABLETAS,,,,,2,
,676194966318,ALFA COLAGENO CON VITAMINA C,Vitaminas,,6.5,13,,,,,5,100 CAPSULAS,,,,,6,
,676194500055,ALFA OMEGA 3,Vitaminas,,6.5,13,,,,,5,1000 MG 100 CAPSULAS BLANDAS,,,,,1,
,676194144662,ALFA LEVADURA DE CERVEZA,Vitaminas,,5,10,,,,,5,1000 MG 100 TABLETAS ,,,,,2,
,676194172047,ALFA DHEA,Vitaminas,,6.5,13,,,,,5,50 MG 60 CAPSULAS,,,,,2,
,741273001041,FLORES DE BACH KIDS,Vitaminas,,15,30,,,,,5,0,,,,,1,
,741273400844,FLORES DE BACH SLEP KIDS,Vitaminas,,15,30,,,,,5,0,,,,,1,
,7593533001116,Arnicavihom Globulos Vihom 30Gr,Vitaminas,,3.5,7,,,,,5,0,,,,,2,
,860005973712,SIERRA ACEITE DE OREGANO 80% DE CARVACROL,Vitaminas,,14,28,,,,,5,0,,,,,2,
,7593533002991,Diabet Vihom Solucion 30Ml,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,7593533003011,DIGEN VIHOM SOLUCION 30 ML,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,7593533003080,Estrex Vihom Solucion 30Ml,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,7593533002960,Credefor Vihom Solucion 30Ml,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,7593533003004,DIGEFLAT VIHOM SOLUCION 30 ML,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,7593533003226,EPIGAST VIHOM SOLUCION 30 ML,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,7592430002622,SEDAMIL ,Vitaminas,,2.5,5,,,,,5,0,,,,,3,
,7593533002427,Litio(Li) Oligovihom Solución 30Ml,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,7593533004063,Estreñimiento Pediatrico Vihom Solucion 30Ml,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,7593533003981,DIGHEM VIHOM SOLUCION 30 ML,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,7593533002434,Magnesio(Mg) Oligovihom Solución 30Ml,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,7593533003943,Alervihom Pediatrico Solucion 30Ml,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,7593533004018,Insovihom Pediatrico Solucion 30Ml,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,7593533002960,Credefor Vihom Solucion 30Ml,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,7593533003721,Triglicol Vihom Solucion 30Ml,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,7593533003271,INFLAMAT VIHOM SOLUCION 30 ML,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,7593533003394,MIGRAM VIHOM SOLUCION 30 ML,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,5901234123457,Melatonina Naturex 300mcg 40Tabs,Vitaminas,,2.5,5,,,,,5,0,,,,,1,
,7594001450092,ACEITE MINERAL ,Vitaminas,,1.5,3,,,,,5,30ML,,,,,2,
,7594001450054,ACEITE DE COCO ,Vitaminas,,2,4,,,,,5,30 ML,,,,,2,
,7594001450122,ACEITE DE PALO,Vitaminas,,2.5,5,,,,,5,30 ML,,,,,2,
,7594001450818,GOTAS DE VALERIANA,Vitaminas,,2,4,,,,,5,30 ML,,,,,2,
,7594001450153,ACEITE DE RICINO,Vitaminas,,2,4,,,,,5,30 ML,,,,,2,
,7594001450757,GOTAS DE ARNICA,Vitaminas,,1.5,3,,,,,5,30 ML,,,,,2,
,7594001450795,GOTAS DEL CARMEN,Vitaminas,,1.5,3,,,,,5,30 ML,,,,,2,
,742709100239,COLON CLEAN CAPSULAS,Vitaminas,,5,10,,,,,5,LIMPIEZA DE COLON ,,,,,2,
,7196655397196,CHANCA PIEDRA ,Vitaminas,,3.5,7,,,,,5,0,,,,,1,
,7592321039782,COLOSTRUM,Vitaminas,,4.5,9,,,,,5,ACTIVA EL SISTEMA INMUNE,,,,,1,
,7591774000882,QUINCHONCHO NACIONAL,Vitaminas,,4,8,,,,,5,PARA LA SINUSITIS 60 CAPSULAS ,,,,,2,
,7597816000193,ADELMAX NACIONAL,Vitaminas,,4,8,,,,,5,ADELGAZANTE 60 CAPSULAS,,,,,2,
,7597816000186,RECONTRUCOL NACIONAL ,Vitaminas,,4,8,,,,,5,RECOSTRUYE EL COLON 60 CAPSULAS,,,,,2,
,7597816000179,PROSTANATURAL NACIONAL,Vitaminas,,4,8,,,,,5,PARA LA PROSTATA 60  CAPSULAS ,,,,,2,
,7597816000094,FITOESTROGENOS NACIONAL,Vitaminas,,4.5,9,,,,,5,REGULADOR HORMONAL 60 CAPSULAS,,,,,2,
,7591774000523,HIGALIMP NACIONAL,Vitaminas,,4,8,,,,,5,PROTECTOR HEPATICO 60 CAPSULAS,,,,,2,
,0133636937390921,MAPURITE NACIONAL ,Vitaminas,,4,8,,,,,5,"ELIMINA QUISTES, MIOMAS Y FIBROMAS",,,,,2,
,7597816000445,PLACEREX NACIONAL ,Vitaminas,,3.5,7,,,,,5,PONTENCIADOR ,,,,,2,
,7591774000479,ARTIPLUS,Vitaminas,,4,8,,,,,5,REGENERADOR ARTICULAR ,,,,,2,
,7702345987734,XTRA NATURA. CARBON MAX,Vitaminas,,4,8,,,,,5,50 CAPSULAS,,,,,1,
,7702248971038,XTRA NATURA. MELATONINA ,Vitaminas,,5,10,,,,,5,10 MG 50 CAPSULAS,,,,,1,
,7702345987819,XTRA NATURA. GINKGO BILOBA + GINSENG,Vitaminas,,4,8,,,,,5,50 CAPSULAS,,,,,1,
,7702248971045,XTRA NATURA. VIT E COLAGENO Y BIOTINA,Vitaminas,,5,10,,,,,5,400 U.I. 50 SOFTGELS,,,,,1,
,7702345987758,XTRA NATURA. CURCUMA + UñA DE GATO ,Vitaminas,,4,8,,,,,5,50 CAPSULAS,,,,,1,
,7702345987772,XTRA NATURA. CASTAñA DE INDIA,Vitaminas,,4,8,,,,,5,1000 MG 50 CAPSULAS,,,,,1,
,7702345987703,XTRA NATURA. XTRA FLEX HARPAGOFITO,Vitaminas,,4,8,,,,,5,50 CAPSULAS,,,,,1,
,7702345987727,XTRA NATURA. RIñOSAN URINARY SUPPORT,Vitaminas,,4,8,,,,,5,1000 MG 50 CAPSULAS,,,,,1,
,7702345987789,XTRA NATURA. GASTRIN ARCILLA Y CALENDULA,Vitaminas,,4,8,,,,,5,50 CAPSULAS,,,,,1,
,7702345987802,XTRA NATURA. MORINGA YACON + NOPAL ,Vitaminas,,4,8,,,,,5,50 CAPSULAS,,,,,1,
,7702345987758,XTRA NATURA. DIABETISAN,Vitaminas,,4,8,,,,,5,50 CAPSULAS,,,,,1,
,7708345981628,XTRA NATURA. CHANCAPIEDRA PHYLLANTUS NIRURI + VIRA VIRA,Vitaminas,,4,8,,,,,5,50 CAPSULAS,,,,,1,
,7702345987765,XTRA NATURA. COLAGENO VIT E,Vitaminas,,4,8,,,,,5,50 CAPSULAS,,,,,1,
,7702345987741,XTRA NATURA. HIGAVILS LIVER CLEANSE (LIMPIADOR DE HIGADO),Vitaminas,,4,8,,,,,5,1000 MG 50 CAPSULAS,,,,,1,
,087614241982,SWANSON. VINAGRE DE MANZANA,Vitaminas,,9,18,,,,,5,63 SERVICIOS,,,,,2,
,025077519965,PURITANS PRIDE. VINAGRE DE MANZANA,Vitaminas,,6,12,,,,,5,32 SERVICIOS,,,,,2,
,016500557647,"CITRACAL (CALCIO, MAGNESIO Y ZINC + VIT D3",Vitaminas,,16.5,33,,,,,5,280 TABLETAS,,,,,1,
,732363270614,Equinacia Goldenseal Nova Nutritions 450Mg 250 Tabs,Vitaminas,,12.5,25,,,,,5,0,,,,,2,
,096619132072,TRUNATURE. GINKGO BILOBA,Vitaminas,,16,32,,,,,5,120 MG 340 SOFTGELS,,,,,1,
,021078017042,HGH SURGE,Vitaminas,,32.5,65,,,,,5,150 TABLETAS,,,,,2,
,300054451811,CENTRUM ADULTOS,Vitaminas,,14,28,,,,,5,365 CAPSULAS,,,,,2,
,681131071734,EQUATE MULTIVITAMINICO 50+,Vitaminas,,6.5,13,,,,,5,125 TABLETAS,,,,,3,
